"semana";"RiopyBahia";"RiopyAsu";"RiopyPilar";"Anho";"Serotipo";"Total_Casos_Dengue(b)";"Tasa _Incidencia _(c)";"Confirmados_Laboratorio";"Dengue_Grave_ (d)";"DG/D_x100_(e)";"Muertes";"Letalidad_f";"Poblacion_X1000";"Precipitacion";"Temp_Aire_med";"Temp_Aire_max";"Temp_Aire_min";"Temp_Rocio_med";"Humedad_med";"Presion_Atm_med";"Insolacion";"Evaporacion"
1;1,86714285714286;2,51857142857143;5,08;2017;"DEN 1";20;0,29;3;0;0;0;0;6,811;0,0428571428571429;30,9857142857143;37;24;22,8333333333333;64,1666666666667;996,333333333333;7,72857142857143;6,34285714285714
2;1,92857142857143;1,88428571428571;4,03;2017;"DEN 1";40;0,59;3;0;0;0;0;6,811;0,614285714285714;31,3;38,2;24,6;22,7333333333333;61,2;995;8,07142857142857;5,84285714285714
3;1,99285714285714;1,74571428571429;3,49857142857143;2017;"DEN 1";60;0,88;12;0;0;0;0;6,811;2,84285714285714;31;38,1;22,2;21,3857142857143;58,2857142857143;997,142857142857;10,3714285714286;5,4
4;2,06285714285714;1,52;3,29857142857143;2017;"DEN 1";83;1,22;16;0;0;0;0;6,811;9,52857142857143;26,7428571428571;36;15,2;18,7571428571429;64,8571428571429;999,428571428571;8,72857142857143;5,25
5;2,10428571428571;1,37714285714286;2,73857142857143;2017;"DEN 1";116;1,7;20;0;0;0;0;6,811;6,72857142857143;28,4571428571429;35,5;20,3;21,6714285714286;68,7142857142857;996,714285714286;9,43333333333333;9
6;2,25428571428571;1,76142857142857;2,83;2017;"DEN 1";116;1,7;23;1;0,86;0;0;6,811;17,9714285714286;25,8571428571429;35,1;18,6;19,8285714285714;73,8571428571429;996,142857142857;7,98;17,9714285714286
7;2,32571428571429;2,18428571428571;3,38428571428571;2017;"DEN 1";116;1,7;32;1;0,86;0;0;6,811;0,0857142857142857;28,7;35;20,8;21,5285714285714;66,7142857142857;996,714285714286;10,0571428571429;0,0857142857142857
8;2,28142857142857;2,03428571428571;3,76285714285714;2017;"DEN 1";179;2,63;36;1;0,56;0;0;6,811;4,18571428571429;30,5;37,2;22,3;19,4285714285714;63;999,166666666667;8,35;4,8
9;2,30428571428571;1,83571428571429;3,68;2017;"DEN 1";220;3,23;45;1;0,45;0;0;6,811;10,4142857142857;28,9;35;23;19,6333333333333;74,4;993,4;10;12,3833333333333
10;2,39857142857143;1,79571428571429;3,67857142857143;2017;"DEN 1";238;3,49;56;1;0,42;0;0;6,811;0,885714285714286;29,7285714285714;36,2;23,2;23,6;70,5714285714286;995,142857142857;7,35;0,885714285714286
11;2,47;1,775;3,75666666666667;2017;"DEN 1";288;4,23;90;1;0,35;0;0;6,811;3,17142857142857;24,6142857142857;36,1;14,2;17,1857142857143;69;1000,85714285714;7,15714285714286;3,17142857142857
12;2,51285714285714;1,66714285714286;3,67714285714286;2017;"DEN 1";294;4,32;116;1;0,34;0;0;6,811;5,05714285714286;26,3;32,5;16,8;20,6857142857143;70,4285714285714;1001,28571428571;6,33333333333333;5,05714285714286
13;2,56857142857143;1,68285714285714;3,73571428571429;2017;"DEN 1";314;4,61;130;1;0,32;0;0;6,811;0,214285714285714;26,6571428571429;32;20;20,0714285714286;68,8571428571429;1000,42857142857;7,78571428571429;1,3
14;2,63333333333333;1,79833333333333;3,72666666666667;2017;"DEN 1";331;4,86;150;1;0,3;0;0;6,811;4,54285714285714;25,6142857142857;34;18;20,9;76,7142857142857;996,285714285714;5,23333333333333;3,45
15;2,70666666666667;1,95166666666667;4,42333333333333;2017;"DEN 1";332;4,87;153;1;0,3;0;0;6,811;9;23,1857142857143;33,5;14,4;19,3;78,4;1000;5,5;3,24
16;2,818;2,298;4,856;2017;"DEN 1";361;5,3;175;1;0,28;0;0;6,811;7,31428571428571;21,9571428571429;27,8;15,2;19,3142857142857;87,4285714285714;1000;1,8;1,75
17;2,83857142857143;2,89;5,50142857142857;2017;"DEN 1";709;10,41;205;1;0,14;0;0;6,811;1,64285714285714;20,9857142857143;30,5;8,1;14,0142857142857;68,2857142857143;1002,57142857143;8,11428571428571;3,98571428571429
18;2,89;3,285;6,24333333333333;2017;"DEN 1";715;10,5;230;1;0,14;0;0;6,811;9,78571428571429;21,8;29;13;17,7571428571429;83,1428571428571;1002,42857142857;6,08;3,13333333333333
19;3,01571428571429;3,78285714285714;6,38714285714286;2017;"DEN 1";915;13,43;236;1;0,11;0;0;6,811;8,17142857142857;24,2285714285714;30,2;17,8;19,45;75,6666666666667;999,333333333333;5,88333333333333;2,3
20;3,16714285714286;4,32857142857143;6,60142857142857;2017;"DEN 1";1,19;17,47;252;0;0;0;0;6,811;2,72857142857143;20,8;29;13,8;14,6285714285714;70,5714285714286;997,833333333333;3,84285714285714;2,57142857142857
21;3,50571428571429;4,57428571428571;6,86857142857143;2017;"DEN 1";1,301;19,1;252;0;0;0;0;6,811;1,61428571428571;23,0571428571429;30,5;9,9;19,1857142857143;84;1000,71428571429;3,71428571428571;2,02857142857143
22;3,81428571428571;4,73285714285714;7,16857142857143;2017;"DEN 1";1,45;21,29;274;0;0;0;0;6,811;1,74285714285714;15,5142857142857;22,5;11,4;13,8142857142857;90,2857142857143;1004,85714285714;0,5;0,7
23;3,99428571428571;4,89714285714286;7,31428571428571;2017;"DEN 1";1,487;21,83;275;0;0;0;0;6,811;7,81428571428571;16,6285714285714;24,9;4,9;14,0571428571429;88,8571428571429;1001,42857142857;2,41428571428571;0,85
24;4,12428571428571;5,01;7,43857142857143;2017;"DEN 1";1,549;22,74;280;0;0;0;0;6,811;0;20,4714285714286;31;6,4;15,7285714285714;76,4285714285714;1000,85714285714;6,4;2,65714285714286
25;4,23571428571429;4,93857142857143;7,37285714285714;2017;"DEN 1";1,564;22,96;283;0;0;0;0;6,811;0,0714285714285714;19,5285714285714;29,5;5,1;11,9714285714286;67,5714285714286;1004,71428571429;6,47142857142857;3,45714285714286
26;4,32571428571429;4,74285714285714;7,08142857142857;2017;"DEN 1";1,57;23,05;285;0;0;0;0;6,811;0;21,8428571428571;29,5;15,1;15,0857142857143;68,7142857142857;1005,14285714286;5,87142857142857;3,21428571428571
27;4,35857142857143;4,43428571428571;6,72571428571429;2017;"DEN 1";1,581;23,21;287;0;0;0;0;6,811;0,0285714285714286;20,4428571428571;28,6;11,2;12,5571428571429;62,1428571428571;1007,28571428571;5,08571428571429;2,77142857142857
28;4,39142857142857;4,06714285714286;6,25142857142857;2017;"DEN 1";1,294;19;297;0;0;0;0;6,811;0,114285714285714;23,8285714285714;31,5;15,5;15,1285714285714;60,2857142857143;1003,28571428571;7,75714285714286;5,08571428571429
29;4,46857142857143;3,73571428571429;5,61142857142857;2017;"DEN 1";1,326;19,47;303;0;0;0;0;6,811;0,185714285714286;15,9857142857143;29;0;4,64285714285714;55,1428571428571;1010;6,88571428571429;3,64285714285714
30;4,47285714285714;3,48285714285714;4,96285714285714;2017;"DEN 1";1,327;19,48;304;0;0;0;0;6,811;0;25,1714285714286;33,2;14,5;11,0142857142857;43,5714285714286;1003,71428571429;8,53333333333333;5,9
