Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,0;16,3;19,0;14,0;12,6;79,0;1007,0;3,2;1,5;31,0
0,0;18,6;24,5;9,8;10,1;60,0;1009,0;9,0;2,5;31,0
0,0;20,2;27,0;10,2;11,7;60,0;1004,0;9,2;3,6;31,0
0,0;22,4;27,0;16,2;12,9;56,0;1002,0;9,0;4,3;32,0
0,0;23,1;28,5;19,4;13,2;55,0;997,0;3,3;3,4;32,0
0,0;27,9;33,5;17,2;15,4;47,0;998,0;8,8;4,9;32,0
0,0;24,4;30,5;17,3;12,0;48,0;998,0;9,0;4,8;32,0
0,0;28,9;36,2;20,4;16,9;51,0;993,0;7,0;7,0;32,0
0,0;31,9;37,0;24,1;13,6;34,0;989,0;8,0;9,0;32,0
35,6;29,9;31,2;28,6;17,5;71,0;991,0;0,2;s/d;32,0
0,0;16,8;19,0;14,5;12,9;87,0;1001,0;2,0;s/d;33,0
0,0;18,1;22,6;9,0;10,6;64,0;1003,0;7,4;2,0;33,0
0,0;18,9;26,0;14,2;14,5;76,0;1002,0;9,4;3,0;33,0
0,0;22,4;27,0;17,9;14,1;62,0;1004,0;7,0;4,4;33,0
0,0;23,4;28,0;13,3;13,5;55,0;1003,0;7,5;3,2;33,0
0,0;22,2;25,8;17,6;18,0;77,0;997,0;5,3;1,1;33,0
0,3;24,8;29,0;20,4;20,8;79,0;992,0;4,5;4,0;33,0
0,0;16,5;25,0;13,6;3,2;44,0;1010,0;7,8;6,0;34,0
0,0;16,2;21,6;8,1;2,3;40,0;1012,0;9,5;1,5;34,0
0,0;20,1;25,5;8,4;10,6;56,0;1002,0;9,6;8,0;34,0
0,0;27,3;32,5;16,2;16,3;52,0;996,0;9,2;7,5;34,0
0,0;30,1;35,5;24,0;16,5;44,0;996,0;9,5;9,0;34,0
0,0;29,5;35,0;24,7;13,6;39,0;997,0;8,5;9,0;34,0
0,0;25,6;34,5;24,2;18,0;65,0;995,0;6,6;6,0;34,0
1,3;26,5;32,5;21,8;17,9;61,0;996,0;6,0;3,6;35,0
0,0;27,5;36,0;20,5;17,3;54,0;994,0;9,7;5,2;35,0
0,0;30,6;36,8;21,6;15,2;42,0;996,0;9,5;8,0;35,0
0,0;22,8;27,5;18,0;9,8;61,0;1006,0;7,0;5,0;35,0
0,0;18,8;27,0;10,6;;NA;NA;9,0;3,0;35,0
0,0;28,3;33,1;14,8;16,3;49,0;1001,0;9,3;6,3;35,0
0,0;29,9;35,2;24,4;17,0;47,0;1005,0;9,5;9,2;35,0
0,0;30,1;36,0;24,8;16,4;45,0;1002,0;8,2;8,3;36,0
0,1;26,9;36,5;25,2;14,0;51,0;1001,0;8,8;6,3;36,0
0,2;16,7;18,5;15,1;15,0;90,0;1007,0;s/d;3,2;36,0
0,0;22,9;30,0;15,3;16,2;69,0;1000,0;8,5;5,2;36,0
0,0;28,3;35,0;18,0;12,1;40,0;999,0;7,5;5,3;36,0
0,0;29,7;35,0;21,6;13,2;38,0;995,0;3,7;6,1;36,0
0,7;30,9;36,0;26,5;14,7;39,0;993,0;7,2;7,9;36,0
1,8;27,6;38,2;27,0;15,1;52,0;995,0;6,5;8,4;37,0
0,0;19,4;24,5;14,8;12,3;65,0;1004,0;9,0;5,0;37,0
0,0;22,1;27,5;15,9;15,2;66,0;1003,0;6,5;4,2;37,0
0,0;25,0;32,5;17,1;18,7;69,0;998,0;8,2;4,9;37,0
9,8;18,6;24,0;18,5;15,0;80,0;1000,0;0,8;1,8;37,0
9,3;17,3;20,0;17,3;15,9;91,0;1007,0;0,0;s/d;37,0
0,1;16,8;20,3;15,2;13,8;84,0;1010,0;1,4;s/d;37,0
0,0;19,2;25,5;14,0;13,7;72,0;1009,0;10,2;3,6;38,0
0,0;21,6;27,5;13,4;14,2;66,0;1004,0;9,5;3,5;38,0
0,0;28,1;35,5;15,0;17,2;54,0;1001,0;9,5;5,8;38,0
0,0;31,1;37,0;18,8;15,0;41,0;999,0;9,8;8,0;38,0
0,0;28,6;36,0;21,2;14,1;45,0;1001,0;6,8;6,8;38,0
0,0;18,5;21,0;17,6;16,2;87,0;1003,0;0,2;1,8;38,0
1,9;18,1;20,2;16,4;15,6;86,0;1005,0;0,0;0,5;38,0
0,0;23,0;28,9;16,4;18,5;78,0;1001,0;3,2;2,8;39,0
0,0;28,2;32,5;18,7;18,1;55,0;1002,0;7,3;4,7;39,0
0,0;28,2;34,5;19,2;16,5;52,0;999,0;9,9;6,3;39,0
0,2;28,0;33,5;20,9;16,4;52,0;999,0;4,3;5,8;39,0
2,4;21,1;25,0;20,2;18,0;83,0;1002,0;0,8;1,5;39,0
0,0;22,9;26,2;19,2;19,3;81,0;1000,0;2,2;3,0;39,0
0,0;26,3;30,5;18,6;19,0;65,0;991,0;7,8;4,0;39,0
7,7;22,6;32,0;21,2;17,8;75,0;984,0;2,2;5,5;40,0
0,0;18,6;25,0;15,2;8,8;57,0;997,0;9,7;5,0;40,0
0,0;22,0;29,5;11,4;8,6;47,0;1004,0;10,3;5,4;40,0
0,0;24,5;30,0;12,4;8,6;38,0;1000,0;10,5;8,7;40,0
0,0;29,7;35,5;20,1;14,4;40,0;991,0;7,7;7,5;40,0
37,0;30,1;37,2;24,4;20,9;62,0;995,0;8,4;s/d;40,0
