Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
0,0;27,7;31,5;20,7;20,6;66,0;1000,0;10,2;0,0;13,0
0,0;27,5;31,5;20,8;19,3;62,0;999,0;9,6;0,0;13,0
0,0;26,9;31,0;20,8;19,1;64,0;1001,0;6,2;0,0;13,0
0,0;27,1;30,0;20,4;17,4;56,0;1004,0;10,0;7,6;13,0
0,0;24,8;30,1;18,0;17,2;65,0;998,0;s/d;5,8;14,0
5,1;22,8;25,5;21,4;19,5;82,0;998,0;0,0;0,6;14,0
3,5;26,4;32,5;22,6;22,5;80,0;994,0;6,2;3,4;14,0
22,6;23,7;27,5;23,4;22,5;93,0;995,0;0,2;0,0;14,0
0,0;25,5;29,0;19,2;19,3;70,0;1000,0;9,7;3,6;14,0
0,6;26,8;32,0;18,8;21,9;75,0;995,0;8,8;7,3;14,0
0,0;29,3;34,0;25,2;23,4;72,0;994,0;6,5;s/d;14,0
25,5;25,4;33,5;21,8;23,2;88,0;995,0;4,2;s/d;15,0
0,0;20,5;23,5;19,1;17,7;85,0;994,0;0,0;0,8;15,0
0,0;21,1;25,5;18,1;16,4;75,0;1005,0;4,2;3,7;15,0
0,0;21,9;27,0;16,4;15,3;68,0;1007,0;9,5;4,2;15,0
0,0;21,0;27,5;14,4;sd;s/d;s/d;9,6;2,5;15,0
0,0;23,5;29,5;17,5;sd;s/d;s/d;s/d;5,0;15,0
37,5;28,9;33,5;22,4;23,9;76,0;999,0;s/d;s/d;15,0
0,0;23,3;26,5;18,9;21,1;88,0;1002,0;0,8;0,2;16,0
0,0;22,3;24,8;20,6;19,9;87,0;1001,0;0,2;1,7;16,0
2,2;24,7;27,8;20,0;20,6;79,0;1000,0;1,6;1,7;16,0
41,6;23,8;25,5;22,1;21,3;96,0;996,0;0,0;s/d;16,0
6,2;19,0;23,5;17,8;17,8;93,0;997,0;0,2;0,2;16,0
1,2;19,7;23,0;17,7;18,1;91,0;1000,0;0,6;3,7;16,0
0,0;20,9;26,5;15,2;16,4;78,0;1004,0;9,2;3,0;16,0
0,0;22,4;27,5;16,8;17,7;76,0;1002,0;6,2;2,3;17,0
0,0;25,7;30,5;18,5;20,0;72,0;999,0;5,5;3,3;17,0
11,5;25,6;30,1;23,1;22,1;82,0;989,0;7,0;4,5;17,0
0,0;18,5;22,0;14,9;10,3;71,0;1003,0;9,3;3,7;17,0
0,0;17,0;22,5;9,2;8,0;57,0;1009,0;10,2;2,6;17,0
0,0;18,2;24,5;8,1;9,1;58,0;1008,0;9,4;6,5;17,0
0,0;19,5;26,5;8,4;10,9;62,0;1008,0;9,2;5,0;17,0
0,0;19,5;24,0;13,0;14,8;75,0;1007,0;3,3;1,5;18,0
0,0;19,5;26,5;17,1;17,7;90,0;1006,0;6,3;0,3;18,0
0,0;24,8;28,3;17,9;18,2;69,0;1001,0;7,5;2,9;18,0
68,4;25,3;28,0;20,6;18,4;90,0;1001,0;s/d;s/d;18,0
0,1;18,9;21,5;17,4;17,7;93,0;1001,0;s/d;1,1;18,0
0,0;20,5;26,5;15,0;17,1;84,0;1002,0;3,8;7,0;18,0
0,0;24,1;29,0;15,4;20,4;81,0;999,0;9,5;6,0;18,0
0,0;26,1;30,2;21,4;19,6;68,0;998,0;8,5;3,5;19,0
15,1;23,8;29,5;22,1;19,2;76,0;997,0;6,3;2,4;19,0
0,0;22,1;26,5;19,1;18,3;79,0;1002,0;4,2;1,2;19,0
0,0;22,7;27,5;17,8;18,1;76,0;1003,0;7,3;1,1;19,0
0,0;23,9;27,0;19,0;20,7;83,0;1000,0;0,8;0,6;19,0
0,0;26,5;30,1;22,2;20,8;72,0;996,0;8,2;5,0;19,0
42,1;24,5;25,5;23,5;sd;s/d;s/d;s/d;s/d;19,0
0,0;18,9;21,9;15,9;16,1;84,0;1001,0;0,8;1,9;20,0
0,0;19,8;22,5;17,1;0,0;0,0;s/d;6,0;2,0;20,0
0,0;19,7;24,0;13,8;14,7;74,0;1002,0;8,0;2,5;20,0
10,4;21,9;24,8;17,2;19,1;84,0;998,0;1,7;0,8;20,0
8,7;24,4;29,0;20,0;22,4;89,0;991,0;1,3;1,8;20,0
