"";"Precipitacion";"Temp_Aire_med";"Temp_Aire_max";"Temp_Aire_min";"Temp_Rocio_med";"Humedad_med";"Presion_Atm_med";"Insolacion";"Evaporacion";"semana"
"1";"22,7";"24,1";"36,0";"26,5";"20,5";"93";"993";"s/d";"s/d";1
"2";"0,0";"24,9";"29,0";"21,4";"17,8";"77";"993";"3,9";"3,9";1
"3";"0,0";"27,9";"32,5";"20,0";"18,9";"55";"998";"10,3";"10,3";1
"4";"0,0";"28,5";"31,5";"18,4";"20,9";"57";"998";"7,7";"7,7";1
"5";"0,0";"30,2";"34,0";"20,2";"21,7";"59";"996";"6,8";"6,8";1
"6";"0,0";"28,8";"34,0";"25,0";"s/d";"66";"998";"8,2";"8,2";1
"7";"0,0";"s/d";"34,2";"21,0";"21,2";"s/d";"s/d";"5,2";"5,2";1
"8";"0,0";"29,5";"33,5";"19,8";"21,0";"61";"1001";"6,8";"6,8";2
"9";"0,0";"28,6";"32,5";"23,4";"22,4";"64";"1002";"8,2";"8,2";2
"10";"2,5";"26,7";"31,0";"23,8";"23,4";"78";"1002";"2,5";"2,5";2
"11";"2,2";"27,6";"31,0";"23,0";"24,0";"78";"1002";"1,6";"1,6";2
"12";"0,0";"27,7";"31,5";"23,8";"24,7";"81";"996";"4,5";"4,5";2
"13";"110,0";"28,8";"32,5";"25,5";"s/d";"80";"992";"s/d";"s/d";2
"14";"1,7";"25,9";"28,5";"23,2";"22,2";"s/d";"s/d";"0,0";"0,0";2
"15";"0,0";"24,9";"28,0";"23,1";"22,4";"85";"997";"4,4";"4,4";3
"16";"0,0";"27,1";"31,0";"20,8";"23,4";"76";"999";"3,4";"3,4";3
"17";"0,0";"30,1";"34,5";"24,8";"23,1";"69";"999";"6,6";"6,6";3
"18";"0,0";"26,5";"28,5";"25,6";"22,6";"82";"999";"3,7";"3,7";3
"19";"10,7";"26,3";"29,5";"24,8";"23,5";"81";"1000";"s/d";"s/d";3
"20";"0,8";"28,0";"33,0";"24,4";"24,2";"78";"997";"5,4";"5,4";3
"21";"5,8";"27,8";"33,5";"24,0";"23,5";"81";"994";"6,2";"6,2";3
"22";"0,0";"31,0";"36,0";"24,4";"23,8";"66";"991";"8,5";"8,5";4
"23";"0,0";"32,1";"36,5";"27,0";"22,6";"62";"992";"8,3";"8,3";4
"24";"10,3";"30,0";"32,5";"27,4";"23,3";"75";"995";"s/d";"s/d";4
"25";"0,0";"28,5";"32,5";"23,2";"24,2";"74";"997";"5,0";"5,0";4
"26";"7,2";"27,6";"33,0";"24,8";"24,2";"82";"995";"0,0";"0,0";4
"27";"0,0";"28,6";"33,5";"25,0";"23,6";"78";"994";"4,0";"4,0";4
"28";"31,5";"27,9";"33,0";"25,8";"24,2";"79";"993";"s/d";"s/d";4
"29";"4,8";"28,8";"33,0";"23,4";"22,9";"77";"992";"3,8";"3,8";5
"30";"0,0";"29,8";"34,0";"23,8";"25,2";"67";"991";"6,0";"6,0";5
"31";"0,4";"29,5";"33,5";"25,4";"22,7";"78";"994";"3,4";"3,4";5
"32";"0,0";"30,2";"33,5";"24,8";"21,4";"60";"995";"7,7";"6,0";5
"33";"0,0";"30,6";"34,5";"24,9";"20,8";"56";"995";"9,7";"6,5";5
"34";"0,0";"29,2";"33,5";"21,2";"15,9";"47";"995";"11,3";"6,0";5
"35";"0,0";"29,9";"34,5";"22,4";"17,9";"50";"996";"11,4";"6,4";5
"36";"0,0";"29,5";"34,5";"21,6";"20,4";"59";"995";"9,5";"5,7";6
"37";"0,0";"30,7";"36,0";"23,0";"20,4";"57";"993";"8,3";"6,2";6
"38";"0,0";"31,0";"35,0";"22,4";"19,7";"52";"995";"s/d";"5,7";6
"39";"0,0";"31,1";"35,5";"23,4";"21,0";"57";"994";"s/d";"6,2";6
"40";"0,0";"31,1";"36,5";"24,4";"23,4";"65";"993";"s/d";"7,5";6
"41";"43,2";"27,8";"34,5";"26,5";"22,8";"76";"995";"s/d";"s/d";6
"42";"0,0";"27,0";"29,5";"23,5";"23,3";"81";"996";"s/d";"2,8";6
"43";"0,0";"22,8";"27,5";"19,9";"17,4";"72";"999";"s/d";"4,7";7
"44";"0,0";"25,2";"30,5";"17,2";"15,5";"57";"1002";"11,2";"6,3";7
"45";"0,0";"27,3";"32,0";"18,9";"20,2";"66";"1004";"s/d";"4,9";7
"46";"0,0";"28,9";"33,5";"22,0";"20,5";"61";"1002";"10,0";"7,5";7
"47";"1,4";"28,2";"33,5";"23,8";"22,0";"71";"1001";"8,0";"6,4";7
"48";"0,0";"28,2";"31,5";"22,8";"20,4";"64";"999";"7,5";"5,9";7
"49";"51,1";"23,4";"26,9";"19,4";"21,1";"87";"994";"0,0";"s/d";7
"50";"9,7";"21,3";"23,0";"20,4";"20,9";"98";"993";"0,2";"s/d";8
"51";"0,0";"27,4";"32,5";"20,2";"21,3";"71";"993";"11,2";"5,2";8
"52";"0,0";"28,3";"32,6";"21,6";"21,3";"67";"998";"10,8";"6,7";8
"53";"0,0";"25,9";"30,9";"18,6";"15,2";"54";"1001";"11,2";"7,4";8
"54";"0,0";"24,7";"30,0";"18,4";"17,6";"65";"1000";"11,2";"5,0";8
"55";"0,0";"28,7";"33,5";"19,4";"18,1";"54";"999";"10,5";"8,4";8
"56";"0,0";"26,8";"33,0";"20,5";"s/d";"s/d";"s/d";"s/d";"8,3";8
"57";"0,0";"s/d";"s/d";"s/d";"s/d";"s/d";"s/d";"9,0";"s/d";9
"58";"2,7";"27,8";"33,5";"23,0";"21,9";"72";"994";"7,5";"s/d";9
"59";"1,9";"25,9";"29,0";"22,8";"22,7";"83";"997";"2,8";"2,3";9
