"","Anho","Serotipo","semana","Total_Casos_Dengue(b)","Tasa _Incidencia _(c)","Confirmados_Laboratorio","Dengue_Grave_ (d)","DG/D_x100_(e)","Muertes","Letalidad_f","Poblacion_X1000","Precipitacion","Temp_Aire_med","Temp_Aire_max","Temp_Aire_min","Temp_Rocio_med","Humedad_med","Presion_Atm_med","Insolacion","Evaporacion"
"50","2017","DEN 1, 2","50",1.768,"25.96",454,0,"0.00",0,"0.000",6.811,0,30.8666666666667,38.5,20,19.5166666666667,52.6666666666667,995.833333333333,10.6285714285714,7.37142857142857
"51","2017","DEN 1, 2","51",1.824,"26.78",495,0,"0.00",0,"0.000",6.811,11.6857142857143,27.5,37,22,22.9714285714286,77.8571428571429,995.857142857143,5.1,5.93333333333333
"52","2017","DEN 1, 2","52",1.832,"26.90",616,0,"0.00",0,"0.000",6.811,1.725,27.6625,34.4,19.6,22.2,74,995.285714285714,8.0125,4.6125
"53","2018","DEN 1","1",896,"12.99",90,NA,NA,0,"0.000",6.897,3.24285714285714,27.4,36,18.4,20.1666666666667,67.8333333333333,996,7.01666666666667,7.01666666666667
"54","2018","DEN 1","2",1.9,"27.55",313,NA,NA,0,"0.000",6.897,16.6285714285714,27.8285714285714,33.5,19.8,22.95,73.6666666666667,999.166666666667,3.93333333333333,3.93333333333333
"55","2018","DEN 1, 4","3",3.211,"46.56",542,NA,NA,0,"0.000",6.897,2.47142857142857,27.2428571428571,34.5,20.8,23.2428571428571,78.8571428571429,997.857142857143,4.95,4.95
"56","2018","DEN 1, 4","4",4.858,"70.44",718,NA,NA,0,"0.000",6.897,7,29.3857142857143,36.5,23.2,23.7,73.7142857142857,993.857142857143,5.16,5.16
"57","2018","DEN 1, 4","5",6.513,"94.43",895,NA,NA,0,"0.000",6.897,0.742857142857143,29.7142857142857,34.5,21.2,20.9714285714286,62.1428571428571,994,7.61428571428571,5.44285714285714
"58","2018","DEN 1, 4","6",8.647,"125.37",1.167,NA,NA,4,"0.046",6.897,6.17142857142857,29.7428571428571,36.5,21.6,21.5714285714286,63.8571428571429,994.428571428571,8.9,5.68333333333333
"59","2018","DEN 1, 4","7",11.503,"166.78",1.439,NA,NA,5,"0.043",6.897,7.5,26.2857142857143,33.5,17.2,19.5857142857143,68.2857142857143,1000.14285714286,7.34,5.95
"60","2018","DEN 1, 4","8",13.835,"200.59",1.674,NA,NA,5,"0.036",6.897,1.38571428571429,26.1571428571429,33.5,18.4,19.0666666666667,68.1666666666667,997.333333333333,9.18333333333333,6.83333333333333
"61","2018","DEN 1, 4","9",16.027,"232.38",1.947,NA,NA,7,"0.044",6.897,10.6,25.7666666666667,33.5,21.6,22.8,84.5,997.833333333333,4.38571428571429,2.03333333333333
"62","2018","DEN 1, 4","10",18.017,"261.23",2.184,NA,NA,9,"0.050",6.897,3,26.4857142857143,34.9,17.5,20.7571428571429,72.4285714285714,996.428571428571,7.08571428571429,4.31428571428571
"63","2018","DEN 1, 4","11",19.591,"284.05",2.353,NA,NA,10,"0.051",6.897,0.7,30.3428571428571,36.8,21.5,23.6833333333333,72.5,994.666666666667,7.68571428571429,4
"64","2018","DEN 1, 4","12",21.302,"308.86",2.433,NA,NA,10,"0.047",6.897,5.92857142857143,25.2571428571429,34.8,19,20,75.1428571428571,997.428571428571,5.54285714285714,4.65
"65","2018","DEN 1, 4","13",22.363,"324.24",2.553,NA,NA,11,"0.049",6.897,8.68571428571429,23.3285714285714,30.5,12.5,19.7428571428571,81.2857142857143,999.714285714286,3.17142857142857,3.03333333333333
"66","2018","DEN 1, 4","14",23.575,"341.82",2.628,NA,NA,12,"0.051",6.897,0,25.9,34,18.2,19.4714285714286,69.1428571428571,998.714285714286,9.65,4.6
"67","2018","DEN 1, 4","15",24.668,"357.66",2.693,NA,NA,12,"0.049",6.897,0,27.2857142857143,35.5,18.4,20.6571428571429,69.2857142857143,1002,7.46666666666667,4.72857142857143
